image_path,caption,category
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_055428.PNG,an ocean turtle moves in a remote open sea.,turtle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000187271.jpg,A fridge in the middle of some cabinets ,appliance
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000223182.jpg,A person sitting down with a tennis racket.,furniture
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000444386.jpg,A woman is holding a box of doughnuts next to a man in glasses and a hat.,indoor
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_054758.PNG,an ocean turtle floats in a remote oceanic area.,turtle
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_021914.PNG,an ocean turtle moves swimming in the open ocean.,turtle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000268363.jpg,A baby is sleeping next to a teddy bear,person
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000359959.jpg,A urinal in a restroom with a deodorizer hanging above the urinal. ,furniture
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000556028.jpg,A person that is holding some food in his hand.,person
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000218751.jpg,That fire hydrant is just old and rusty.,vehicle
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_054816.PNG,a solitary turtle swims through the waves in the ocean.,turtle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000151141.jpg,A group of people walking around a lush green park.,accessory
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000489944.jpg,A woman plays with frisbees with her dogs. ,sports
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000539423.jpg,A kitchen that has a black stove and black microwave in it.,furniture
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000555648.jpg,A motorcycle sitting on a sidewalk near parked cars.,person
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000383053.jpg,A man with a hideous mask on as a tour bus rides away.,person
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000256035.jpg,A woman cross country skiing in a competition.,sports
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_019901.PNG,a green turtle swims surrounded by currents.,turtle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000269038.jpg,A man on a bicycle crossing the street by a corner grocery. ,outdoor
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_040738.PNG,a green turtle swims through the waves in the vast ocean.,turtle
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_068318.PNG,a lone turtle swims through the waves in the deep sea.,turtle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000492420.jpg,A man holding a woman's hand and cutting a wedding cake together.,accessory
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000104685.jpg,Racehorses passing in front of a sign on the track. ,animal
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_048091.PNG,a swimming turtle is captured swimming in a remote open sea.,turtle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000081054.jpg,"A view of two trucks, one with a man in the reflection of the window.",vehicle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000373539.jpg,some greens and fish on a white plate,furniture
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_054590.PNG,a solitary turtle moves in the vast ocean.,turtle
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_019009.PNG,a turtle swims within open sea.,turtle
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_008612.PNG,an aquatic dolphin swims through the waves surrounded by currents.,dolphin
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000200862.jpg,A bunch of vegetables scattered about on a table top.,food
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000333737.jpg,A man with a white umbrella posing with some foliage.,accessory
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000117191.jpg,A toilet seat with a fake foam butt on top of it.,indoor
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000479836.jpg,some different foods are laying out on a table,food
/projects/data/turtle-full-v2/images/Train_cropped/cropped_frame_045804.PNG,an ocean turtle swims in a remote oceanic area.,turtle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000447602.jpg,A small child riding a toy tractor near sheep.,person
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000442428.jpg,A white bath tub sitting under a long mirror.,appliance
