image_path,caption,category
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000546826.jpg,A close up image of the finger holes on a pair of scissors and sharpie markers.,indoor
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000048133.jpg,A number of people on skis stand at the bottom of a mountain.,sports
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044017.PNG,an ocean turtle navigates surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_030223.PNG,a swimming turtle cruises in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000462576.jpg,a plate of breakfast food sits on a table,furniture
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000070603.jpg,An animal standing on concrete in an enclosed area.,animal
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_011600.PNG,An image of the marine surface,sea
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000097146.jpg,A city with tall buildings and a large clock tower.,person
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000551518.jpg,A man is flying a rectangle shaped kite.,sports
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_056277.PNG,a swimming turtle swims in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_055057.PNG,a juvenile sea turtle cruises in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000073622.jpg,A group of young people sitting around each other.,vehicle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000354278.jpg,There is an image of a fire hydrant with dalmatian spots.,vehicle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000029577.jpg,Two white horses with red plumes pulling carriage.,animal
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031061.PNG,a solitary turtle navigates within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_012756.PNG,An image of the ocean,sea
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000553165.jpg,A boat sitting on dry land on a beach.,person
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000229960.jpg,A man enjoying a cool beverage and a flat bread pizza,person
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031866.PNG,an aquatic turtle is captured swimming in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000147058.jpg,A small black step on a busy street.,outdoor
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000014781.jpg,A news paper sitting on a floor next to a toilet.,furniture
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000474788.jpg,A small plane flying low on a clear sky,vehicle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_014180.PNG,An image of the open sea,sea
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044492.PNG,a juvenile sea turtle floats in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019675.PNG,a juvenile sea turtle swims within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000177419.jpg,A blue fire hydrant slightly rusted on a sidewalk.,outdoor
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_045509.PNG,an ocean turtle cruises in the vast ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000133237.jpg,A large elephant standing next to a small elephant.,animal
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000278175.jpg,A wandering bear in a forest by a tree.,animal
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000396691.jpg,Two women in a kitchen talking by the microwave. ,appliance
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_008586.PNG,a dolphin floats in the sea.,dolphin
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000374505.jpg,Person with pair of scissors in front of face.,person
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_056218.PNG,a green turtle swims in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000069189.jpg,a person with the stuff riding a bicycle,vehicle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019397.PNG,an aquatic turtle swims through the waves in the vast ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000202843.jpg,a man with a hat throwing a baseball,vehicle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_040580.PNG,a solitary turtle swims through the waves in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000490725.jpg,A cat laying on top of a chair with pillows.,animal
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_032184.PNG,a marine turtle cruises within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_016417.PNG,An image of the open sea,sea
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_015730.PNG,An image of the ocean,sea
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_046484.PNG,a sea turtle moves in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_062478.PNG,an aquatic turtle swims in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_069427.PNG,a juvenile sea turtle drifts in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_045515.PNG,a green turtle swims swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_001925.PNG,A garbage in the sea,debris
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000453020.jpg,A restroom filled with urinals and toilet stalls.,furniture
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000455483.jpg,A bathroom with two sinks and a shower.,furniture
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000284560.jpg,The cooking and preparation process of a meal.,kitchen
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031836.PNG,a sea turtle cruises in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_011166.PNG,An image of the water,sea
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000577864.jpg,a couple of people are kicking a ball in a field,person
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000117308.jpg,Many pairs of scissors sitting on red white and blue fabric and fabric with US flags.,indoor
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_042016.PNG,a solitary turtle cruises swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000545788.jpg,Black and white sheep graze on a grassy hill.,animal
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000343149.jpg,People stand outside of a series of stores. ,person
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019726.PNG,an aquatic turtle is captured swimming in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000096960.jpg,A polar bear swimming in water near a rock wall.,animal
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_055263.PNG,an aquatic turtle swims through the waves in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000015260.jpg,Two-tiered white fondant cake on pedestal with tiers separated by two rows of white and green roses covered with a dark wire wide-mesh birdcage top with a bird perched atop for a handle.,food
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031946.PNG,an aquatic turtle navigates swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_016450.PNG,An image of the ocean's surface,sea
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000161861.jpg,THERE IS A WOMAN THAT IS HOLDNG A TENNIS RACKET ,person
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_049666.PNG,a juvenile sea turtle swims within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000099927.jpg,a clock on a table near a wall,sports
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044270.PNG,an ocean turtle floats in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000523418.jpg,A dog jumps and catches a flying disk.,person
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_056164.PNG,a marine turtle moves in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000518729.jpg,An animal is walking along in a wooded area.,animal
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000367953.jpg,A woman standing outside holding up an umbrella.,vehicle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000520727.jpg,A zebra and a giraffe foraging together by some trees.,animal
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_054660.PNG,an aquatic turtle navigates in the vast ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_050058.PNG,a turtle floats in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/COCO/COCO_val2014_000000147740.jpg,A woman carrying a bunch of bananas on her head walking down a street.,vehicle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_054763.PNG,a juvenile sea turtle cruises swimming in the open ocean.,turtle
