image_path,caption,category
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_045132.PNG,a solitary turtle swims through the waves surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_055033.PNG,a swimming turtle cruises in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_056281.PNG,a solitary turtle is captured swimming in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_033090.PNG,an aquatic turtle moves swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031080.PNG,a sea turtle moves in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_022019.PNG,a green turtle swims in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_040414.PNG,a green turtle is captured swimming within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_061855.PNG,a solitary turtle navigates in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044793.PNG,a marine turtle swims through the waves in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_055255.PNG,a lone turtle cruises in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_032235.PNG,a solitary turtle swims through the waves in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_049979.PNG,an aquatic turtle is captured swimming surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_042945.PNG,a lone turtle swims swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_032084.PNG,a juvenile sea turtle drifts in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_045529.PNG,a lone turtle navigates within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_022475.PNG,an aquatic turtle moves in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_041697.PNG,a turtle drifts in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_041623.PNG,a marine turtle swims in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_060156.PNG,a turtle floats in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044686.PNG,a sea turtle is captured swimming in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_022820.PNG,a solitary turtle swims through the waves in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_022106.PNG,a sea turtle drifts swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019726.PNG,an aquatic turtle is captured swimming in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_047326.PNG,a solitary turtle drifts in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_041839.PNG,an aquatic turtle navigates in the vast ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019043.PNG,an aquatic turtle navigates in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031042.PNG,an aquatic turtle swims surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_047509.PNG,a solitary turtle is captured swimming in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_021348.PNG,a juvenile sea turtle navigates in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_046926.PNG,a solitary turtle swims in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_041706.PNG,an aquatic turtle swims in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_033453.PNG,a solitary turtle drifts in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_030839.PNG,a sea turtle swims through the waves surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019429.PNG,a turtle floats in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_020471.PNG,a turtle cruises in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044079.PNG,a swimming turtle drifts in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031553.PNG,a solitary turtle swims in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_021578.PNG,an ocean turtle swims in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019280.PNG,a marine turtle floats in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_045699.PNG,a marine turtle moves in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_047193.PNG,a solitary turtle is captured swimming in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_060169.PNG,a juvenile sea turtle moves in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_032976.PNG,a solitary turtle swims through the waves in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_050065.PNG,a swimming turtle navigates surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044543.PNG,a swimming turtle swims through the waves within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_054535.PNG,a lone turtle swims through the waves in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_023480.PNG,a juvenile sea turtle is captured swimming in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_020137.PNG,a green turtle drifts within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_023035.PNG,a lone turtle is captured swimming in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_020076.PNG,a marine turtle swims swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_045614.PNG,a turtle is captured swimming in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_021422.PNG,a juvenile sea turtle moves in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044090.PNG,a turtle swims through the waves in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_021282.PNG,a marine turtle moves in the vast ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_023576.PNG,a marine turtle swims in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031534.PNG,a turtle moves in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_021234.PNG,a sea turtle cruises in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_047551.PNG,a marine turtle swims in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_020315.PNG,a marine turtle drifts surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_022341.PNG,a swimming turtle drifts in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019163.PNG,an aquatic turtle is captured swimming in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_021511.PNG,an aquatic turtle moves in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_049600.PNG,a sea turtle is captured swimming in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_068487.PNG,a green turtle navigates swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_055420.PNG,a juvenile sea turtle floats within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_055081.PNG,an aquatic turtle swims swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031243.PNG,a green turtle floats in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019262.PNG,a lone turtle swims in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_042817.PNG,an aquatic turtle swims in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_041299.PNG,a lone turtle floats in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_041919.PNG,a solitary turtle navigates in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_061963.PNG,a lone turtle floats in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019960.PNG,a lone turtle swims through the waves in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_063543.PNG,a green turtle floats within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_032741.PNG,a solitary turtle is captured swimming in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_030304.PNG,a turtle navigates in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_064516.PNG,a sea turtle floats in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_020389.PNG,a green turtle navigates in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_045545.PNG,a lone turtle navigates in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019950.PNG,a swimming turtle drifts swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_049175.PNG,a sea turtle cruises in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019906.PNG,a lone turtle swims through the waves in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_023271.PNG,a solitary turtle navigates in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_056255.PNG,a swimming turtle swims through the waves swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_033078.PNG,a turtle is captured swimming in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_047938.PNG,a sea turtle floats in still marine waters.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_040592.PNG,an ocean turtle navigates in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_033387.PNG,a solitary turtle navigates swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031000.PNG,a lone turtle swims in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_065780.PNG,a sea turtle moves in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019092.PNG,a swimming turtle floats in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_047948.PNG,a turtle drifts in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031237.PNG,an ocean turtle drifts in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_022753.PNG,a marine turtle navigates in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031917.PNG,a solitary turtle swims in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_065778.PNG,a marine turtle cruises surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_020627.PNG,a sea turtle cruises in the sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044494.PNG,a juvenile sea turtle cruises within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_045053.PNG,a sea turtle navigates in a remote oceanic area.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019030.PNG,a juvenile sea turtle swims in the deep sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_019633.PNG,an ocean turtle swims through the waves surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_060082.PNG,a marine turtle cruises swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_061889.PNG,a sea turtle swims within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_031446.PNG,a sea turtle is captured swimming swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_068452.PNG,a lone turtle cruises in the water.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_049560.PNG,a green turtle drifts in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_054830.PNG,a marine turtle moves in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_030195.PNG,a swimming turtle swims within open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_043993.PNG,a lone turtle navigates surrounded by currents.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_047821.PNG,a juvenile sea turtle moves in the ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_042034.PNG,a swimming turtle floats in a remote open sea.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_044865.PNG,an ocean turtle drifts swimming in the open ocean.,turtle
/workspace/text-to-image-retrivial/DATASET/Train_cropped/cropped_frame_020017.PNG,a lone turtle swims through the waves within open sea.,turtle
