image_path,caption,category
/workspace/COCO/COCO_val2014_000000251062.jpg,The interior of a modern bathroom including glass shower and sinks,appliance
/workspace/Train_cropped/cropped_frame_054476.PNG,an aquatic turtle swims through the waves in the ocean.,turtle
/workspace/Train_cropped/cropped_frame_049133.PNG,a solitary turtle moves in the vast ocean.,turtle
/workspace/COCO/COCO_val2014_000000306437.jpg,The man is practicing his moves on his skateboard.,vehicle
/workspace/Train_cropped/cropped_frame_042896.PNG,a turtle navigates surrounded by currents.,turtle
/workspace/COCO/COCO_val2014_000000315923.jpg,There is a man taking a picture on a side view mirror,person
/workspace/COCO/COCO_val2014_000000258793.jpg,The very pretty sun shining through some big buildings.,person
/workspace/Train_cropped/cropped_frame_065859.PNG,an ocean turtle moves in the deep sea.,turtle
/workspace/COCO/COCO_val2014_000000099581.jpg,someone is holding in their hands a very old mp3 player,person
/workspace/COCO/COCO_val2014_000000353658.jpg,its raining so all the people are carrying umbrellas,accessory
/workspace/Train_cropped/cropped_frame_055081.PNG,a juvenile sea turtle moves in the sea.,turtle
/workspace/COCO/COCO_val2014_000000044250.jpg,A polar bear dives off a rock into a river.,animal
/workspace/COCO/COCO_val2014_000000285599.jpg,A elephant standing in the middle of a forest.,animal
/workspace/COCO/COCO_val2014_000000427870.jpg,A man riding through the air on top of skateboard.,person
/workspace/Train_cropped/cropped_frame_047086.PNG,a solitary turtle cruises in the water.,turtle
/workspace/COCO/COCO_val2014_000000107234.jpg,A guy in a suit with his mouth around a wine glass.,person
/workspace/COCO/COCO_val2014_000000488934.jpg,A photo of two people next to a birthday cake.,food
/workspace/Train_cropped/cropped_frame_042870.PNG,a sea turtle moves in the ocean.,turtle
/workspace/Train_cropped/cropped_frame_015539.PNG,An image of the sea,sea
/workspace/COCO/COCO_val2014_000000469200.jpg,A man jumping to catch a frisbee on a beach.,person
/workspace/Train_cropped/cropped_frame_045237.PNG,a green turtle moves in still marine waters.,turtle
/workspace/COCO/COCO_val2014_000000573971.jpg,People flying flags and kites in a courtyard.,sports
/workspace/Train_cropped/cropped_frame_033241.PNG,a green turtle swims in a remote open sea.,turtle
/workspace/Train_cropped/cropped_frame_033199.PNG,a marine turtle moves in still marine waters.,turtle
/workspace/COCO/COCO_val2014_000000201928.jpg,A counter topped with containers of foods and a roll.,kitchen
/workspace/COCO/COCO_val2014_000000094261.jpg,A cow stands on the ground in front of a pink building.,animal
/workspace/COCO/COCO_val2014_000000247806.jpg,A clock tower is part of an old building.,indoor
/workspace/COCO/COCO_val2014_000000033158.jpg,The old picture features a man in suit hitting a baseball with his bat.,sports
/workspace/COCO/COCO_val2014_000000369045.jpg,a large tower with a clock on it,person
/workspace/Train_cropped/cropped_frame_054593.PNG,a turtle floats in a remote open sea.,turtle
/workspace/COCO/COCO_val2014_000000193114.jpg,A stone tower with a clock and a flag on it,indoor
/workspace/COCO/COCO_val2014_000000202609.jpg,A basket filled with food and a cup of salsa.,person
/workspace/Train_cropped/cropped_frame_046886.PNG,a lone turtle floats swimming in the open ocean.,turtle
/workspace/Train_cropped/cropped_frame_042785.PNG,a lone turtle swims through the waves in the ocean.,turtle
