image_path,caption
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000370819.jpg,A large potted plant sitting next to three bottles of wine.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000100354.jpg,The lamb is nursing for milk from his mother.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000477195.jpg,A pizza with pepperoni and spinach leaves by a beer.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000251874.jpg,A man and woman walking in the ocean together.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000349483.jpg,Two young children sleeping in wooden bunk beds.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000549882.jpg,A sandwich and a brownie are on a tray.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000356733.jpg,A pile of identical teddy bears lays on top of some pillows.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000096946.jpg,A person holding a bouquet of flowers crossing a street at a traffic light.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000144562.jpg,A pitcher throwing a ball at a baseball game. 
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000034508.jpg,There is a snow boarder going down a snowing hill.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000348494.jpg,A cat that is laying on some pink flower petals.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000056960.jpg,two computer monitors each with a different colored pair of angel wings
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000082807.jpg,A dog is sitting in a chair at a table.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000169757.jpg,a mini refrigerator with a toaster oven on top
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000487861.jpg,The information center for a snow boarding park.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000374486.jpg,two large giraffes that are looking around outside
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000353982.jpg,A woman holds a pair of scissors at a table.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000380932.jpg,There are mountains in the background and a lake in the middle.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000112997.jpg,A person holding a walkie talkie in their left hand.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000555686.jpg,A woman outside in front of a building posing on a motorcycle
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000360849.jpg,A dining room with a floral centerpiece flanked by two figurines on the dining room table
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000534734.jpg,A temporary tennis court has been erected in the town square.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000250276.jpg,An older woman is petting her white horse.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000109229.jpg,a young boy in the park throwing a frisbee
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000360064.jpg,A row of vintage cars in a grassy field.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000157170.jpg,Four rams are standing in a line on top of a hill with a town in the background.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000156935.jpg,The comet is dancing for the football team.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000537150.jpg,A sheep has snow covering its face and neck
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000257370.jpg,Two people playing a game on a TV.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000235200.jpg,"SEVERAL ZEBRAS IN AN ENCLOSED AREA, GRAZING AND DRINKING"
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000175908.jpg,Two girl children at a wall of skis indoors.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000566038.jpg,A bird sitting on a ledge outside of window with a car in the background.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000236432.jpg,There is a young boy throwing a baseball
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000103806.jpg,A black cat on a home kitchen floor
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000478522.jpg,A man on a surfboard over the water.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000182895.jpg,The parking meters are lined up down the street.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000438667.jpg,A fluffy cat relaxes on a blue blanket.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000523873.jpg,Two people holding tennis rackets on a tennis court.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000006854.jpg,A poster that indicates the letter S stands for sandwich.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000572069.jpg,A cow grazing in a large green pasture.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000389258.jpg,A small child and a woman pose while holding umbrellas.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000199681.jpg,The door to a microwave is open and is exposing a stuffed animal is propped inside.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000377314.jpg,A jet in the air contains a red light on its belly.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000296657.jpg,The six men wearing ties are jumping outside
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000128059.jpg,A pizza sitting on top of a white plate covered in cheese and sauce.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000239837.jpg,"An open area of concrete with people walking around, surrounded by tall buildings."
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000417217.jpg,A train rounding a corner in a jungle type area.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000217228.jpg,a zebra grazing on grass in an open field
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000176519.jpg,A child on a surfboard rides a wave.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000114504.jpg,A dog is eating the food in a fridge. 
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000018191.jpg,Red bricks set in a sidewalk leading the way past a fire yellow and black hydrant.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000478240.jpg,a city bus carrying passengers and a cycle rider along side it
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000422729.jpg,A close view of a brown horse standing in it's pen.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000009002.jpg,A man holding a square shaped pizza pie.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000113097.jpg,A home filled with various collectibles and portraits.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000186472.jpg,The nose of a high-speed train that is sitting on the tracks. 
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000552221.jpg,a large pizza is on a large white plate
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000575904.jpg,A man walking across the street at an intersection. 
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000184773.jpg,"FRUIT BOWL WITH A PINEAPPLE, AVACADO, PEAR, AND AN ORANGE "
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000035976.jpg,A small animal is in a field in the grass.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000168031.jpg,A ca teating green stuff off the floor
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000082836.jpg,a number of birds standing near one another 
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000412764.jpg,A dog is catching a Frisbee at a competition.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000581749.jpg,A bunch of different vegetables that are on a table.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000364010.jpg,Two dogs sitting in the backseat of a car.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000360175.jpg,Action figures are positioned to resemble a real life event.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000218811.jpg,A clean kitchen counter is seen in this photograph.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000086755.jpg,A couple of people riding a pair of skis down a snow covered slope.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000000397.jpg,Baked pizza with herbs displayed on serving tray at table.
/projects/data/turtle-full-v2/COCO/COCO_val2014_000000301950.jpg,A sandwich and some fries on a plate.
